gene,genes,logFC,logCPM,F,PValue,FDR
5243,GBP7,6.941727500428266,8.845447351038532,32707.768982454152,8.236864012951751e-28,8.198150752090877e-24
5240,GBP2,8.682684653028312,11.97456733118298,28414.819297478873,2.5239842654430405e-27,9.953223346141667e-24
1802,C1RA,5.7752625775086095,6.516463558100316,27226.18643147393,3.546320674134241e-27,9.953223346141667e-24
6466,IFI205,6.607420147448889,8.691737742150726,26817.35977070932,4.0000897603302185e-27,9.953223346141667e-24
2302,CD93,-5.791656747673503,8.679964972404521,23925.48239835073,9.918049811527002e-27,1.9742869954825648e-23
6465,IFI204,3.8359766886362667,9.15371489927936,21399.90056653234,2.4096342982728125e-26,3.940963237753929e-23
12194,SERPINA3F,14.05317231176097,8.199284661138753,20861.772998091594,2.950934169336038e-26,3.940963237753929e-23
2270,CD40,7.581456979287936,8.895491714768847,20676.78473046753,3.167658585555253e-26,3.940963237753929e-23
9706,PARP14,4.603668387054672,10.558739435116467,19340.932478922576,5.389217642744564e-26,5.448847419456864e-23
6760,IRGM1,4.700472979129804,9.220191946379497,19302.769436637554,5.474577935754912e-26,5.448847419456864e-23
13647,TAP1,4.72333736411129,9.355221287535686,18541.94827065643,7.538790427333661e-26,6.730372690173672e-23
5242,GBP4,12.432389811751893,9.891344266575928,18294.59347371325,8.388931537691733e-26,6.730372690173672e-23
11952,SAMHD1,3.378596796543585,10.593501560002949,18187.31179872949,8.790801263162638e-26,6.730372690173672e-23
9147,NOD1,5.075431021748943,8.061879641452617,17049.413021919965,1.469812595415363e-25,1.0449317687263649e-22
13933,TGTP2,10.959399689233459,9.464273200528124,16859.813249682986,1.6065697759189195e-25,1.066012598648067e-22
7898,MAMDC2,-9.903963085217901,8.214212910865454,16618.73301511449,1.801606574154486e-25,1.1170030699375618e-22
5245,GBP9,6.63447504558262,8.239546745605248,16499.443885202563,1.9078722183199588e-25,1.1170030699375618e-22
1813,C3,8.684243952920863,12.021001119607607,15954.114905139106,2.492693928452388e-25,1.3783212594381455e-22
13212,SRC,5.894987512643589,7.134845741258023,15577.90897341296,3.0137796399344274e-25,1.5787446713824926e-22
2247,CD274,4.820551026122452,11.4167081142802,15375.103644225992,3.3449045217726296e-25,1.611521812668525e-22
6548,IGTP,6.14942773293916,8.807932964790638,15343.459188318473,3.4001766367968474e-25,1.611521812668525e-22
2544,CFLAR,3.403832359377461,9.143505672783858,14956.963393042497,4.165228060783031e-25,1.8519576165120868e-22
11159,RALGDS,5.535672931748137,8.673498011633063,14865.052681182584,4.374547185782053e-25,1.8519576165120868e-22
6869,JDP2,3.796166123000358,6.645961601586285,14826.569015774383,4.465687008569284e-25,1.8519576165120868e-22
924,ANXA1,-3.3390744913566333,9.734313789613386,14206.185142738581,6.2740384731958975e-25,2.497820196948751e-22
14550,TRIM30D,3.8763556395148973,7.736560731397309,14127.237552903569,6.558402804261203e-25,2.510607042723529e-22
2255,CD300LB,-4.245143909817054,7.9583406204819305,13864.44866098659,7.614840906118775e-25,2.8070559829111176e-22
6588,IL18BP,7.377913419672046,8.268023023369087,13786.507787394276,7.964065715913788e-25,2.830940931088926e-22
6464,IFI203,4.145950111123553,8.264127754754004,12957.835245914279,1.3039545308136737e-24,4.419721035911867e-22
9172,NOS2,13.64900316705856,12.747283672284555,12922.99522380241,1.3321775452361704e-24,4.419721035911867e-22
4363,EPAS1,-5.509022122753068,7.2107195226957135,12655.24475806161,1.5735421929968354e-24,5.052085628031452e-22
15762,ZBP1,6.527741418673871,8.355921480487241,12471.97714065211,1.7671088509862196e-24,5.333003408925403e-22
13017,SOD2,4.639478869278092,9.840493040631715,12471.007665176441,1.7682016728075786e-24,5.333003408925403e-22
5703,GPR132,4.820984286158977,7.028926559708377,12256.534250991372,2.0297769232687405e-24,5.941873446262875e-22
10929,PTGS2,12.059006795969262,11.25886306819043,12114.44448695346,2.227013303559887e-24,6.332989545809016e-22
13030,SORT1,-5.308019256798986,7.661824903412407,12029.231689588558,2.355606840507908e-24,6.512598578770892e-22
13350,STAT1,3.9544206068679557,9.490263047661669,11865.174890772556,2.627424422088342e-24,7.06777169541764e-22
16320,ZYX,4.138708327377586,10.010918815297824,11803.821353212517,2.738012829106802e-24,7.171432023184211e-22
10704,PROCR,6.332122367387621,10.31381384867672,11715.03825941833,2.9074412447335242e-24,7.419939156110966e-22
1505,BATF2,6.3810517600980905,6.946348137957718,11471.384492815096,3.436360442051394e-24,8.388906309149101e-22
3302,CXCL16,4.74691355837977,9.351179425066581,11463.294379666022,3.455693345474863e-24,8.388906309149101e-22
6749,IRF1,5.818190342407538,10.180568910477168,11360.736579732338,3.7116934717056826e-24,8.795829791401586e-22
6550,IIGP1,12.934181446116561,10.199414959236941,11236.57274136079,4.0506454924342524e-24,9.37583129911584e-22
14046,TLR8,-4.9987637921847226,6.438531087730084,11134.55210843788,4.3553474059409864e-24,9.587601948524675e-22
2755,CLEC4E,7.413475661394606,11.665584836435182,11115.375959056482,4.415455863369379e-24,9.587601948524675e-22
1803,C1RB,5.859004464536639,5.1804717258745985,11110.425932411908,4.4311231752450015e-24,9.587601948524675e-22
6432,ICAM1,6.056343979380566,9.136888639855492,10820.159920114793,5.469341830391358e-24,1.158220409316706e-21
7910,MAN2A2,-5.88011136825706,6.431004267820636,10748.526462297212,5.765982070824221e-24,1.1956004073106973e-21
12655,SLC31A1,3.3736530861348237,8.806625634609059,10718.244715245326,5.896793875336876e-24,1.1977712130862842e-21
2329,CDC42EP2,5.233201506281431,5.464429774291157,10660.276515531057,6.156631862637864e-24,1.2255391385766933e-21
14148,TMEM154,-4.523078506500272,6.47152307648851,10547.173916299716,6.70157307815939e-24,1.3078579773905962e-21
2301,CD9,-3.014738181912513,8.964238444590942,10463.678538397488,7.138751129736923e-24,1.3567551068213436e-21
6575,IL15RA,6.008309249726992,7.37434975685984,10447.930201289204,7.224758430777777e-24,1.3567551068213436e-21
1134,ARID5A,4.423236926706343,7.012786045017341,10206.08689795785,8.703491698903959e-24,1.602958195825667e-21
6820,ITGB5,-4.303368721442636,7.575656586829159,10183.538197658687,8.857902217463245e-24,1.602958195825667e-21
6472,IFIH1,3.726503528871446,8.11154588024,10144.823010050808,9.130265124894257e-24,1.6227415855012953e-21
4012,DTX3L,3.6761018995897423,7.94455752242316,10076.434124115767,9.634733829269313e-24,1.682359750924868e-21
10175,PKP4,3.0213473444174297,6.920014206954325,10025.469743813133,1.0031095284045051e-23,1.7023870983866894e-21
12829,SLFN1,7.751027599496403,7.8667954340953985,10017.900480527433,1.0091513996263908e-23,1.7023870983866894e-21
5241,GBP3,7.417710354801339,9.58022957108249,9952.638530013295,1.0629776478865575e-23,1.7454749245460265e-21
9094,NLRC5,4.749388189156637,8.714818950111745,9935.453994118296,1.077683370299028e-23,1.7454749245460265e-21
9616,P4HA1,3.0972886804479685,8.023289183424152,9924.080741953152,1.0875419718702408e-23,1.7454749245460265e-21
3759,DHX58,3.8307631220592846,7.2481721536978885,9904.400566305696,1.1048419596744666e-23,1.7454749245460265e-21
13364,STEAP3,-3.6527472863175636,6.12630522692283,9650.475329084857,1.3582405364481686e-23,2.045873403293256e-21
10457,PPARG,-6.598591041901326,5.328947055172813,9641.421621552643,1.3684137902350262e-23,2.045873403293256e-21
8002,MATK,-5.221126253047562,5.78909558088161,9636.514951867373,1.373963018391775e-23,2.045873403293256e-21
3307,CXCL9,13.808050163003857,10.43369174811456,9633.655987833074,1.377208058079455e-23,2.045873403293256e-21
2263,CD36,-4.8829092093157165,10.853308279380235,9541.074704316092,1.4871036972755203e-23,2.1766386910269492e-21
6680,INPP5B,2.8960286675117715,7.754628690704111,9518.709844690322,1.5151095856307135e-23,2.1854906819974625e-21
8155,MERTK,2.7273951369247986,8.615620014663698,9422.159847249039,1.6430231349186916e-23,2.336144180263677e-21
13650,TAPBPL,3.72067386005533,7.447662129055479,9376.4123789311,1.7078430526240006e-23,2.3941073102488277e-21
6122,HERC6,4.418461741680675,8.333403566606872,9318.202067947357,1.7945225226628764e-23,2.480678148342168e-21
5998,H2-Q6,4.702780140938769,9.944182059747849,9091.556909306499,2.1825355959636866e-23,2.9757228474830918e-21
3483,DAGLB,-4.779938687591435,7.5716773332290845,9011.396929643444,2.3417253738127933e-23,3.149620627778207e-21
3329,CYBB,2.1899151400770633,11.90397198948002,8938.88401235008,2.4970581734017057e-23,3.313762666648957e-21
5875,GSN,-2.9002445390587277,7.063562721729807,8893.51049691823,2.600142140020314e-23,3.405159831529235e-21
2157,CCL5,10.634111495466863,11.23472437786985,8835.527801460812,2.738914227509954e-23,3.540313416416437e-21
13351,STAT2,4.034533688262546,8.713496635285269,8780.413045994275,2.878594026791207e-23,3.673159788288831e-21
6002,H2-T23,2.420557280346938,10.26689419203925,8753.743238821304,2.9490503083991474e-23,3.684718836801538e-21
7720,LRRC8C,3.4268385783755413,6.985513203207982,8738.516273273728,2.990146261356179e-23,3.684718836801538e-21
8644,MX2,7.987217691534322,6.339762725487166,8723.169543322081,3.032218849490043e-23,3.684718836801538e-21
6761,IRGM2,4.773575203864102,8.227398219567329,8721.896958323468,3.035737412013726e-23,3.684718836801538e-21
7504,LGALS9,3.26068996861198,8.4663143104703,8696.21343815853,3.10774128286071e-23,3.726668552808753e-21
12656,SLC31A2,3.192843225503764,8.755057613622187,8673.945387229705,3.171728330301033e-23,3.758120484700736e-21
1985,CASP4,4.441670608149427,7.4317024543256,8615.565797975063,3.34663908692628e-23,3.911679028408486e-21
14703,TSPO,3.2321449363912946,8.673678690055905,8603.033460490386,3.385587259343147e-23,3.911679028408486e-21
3739,DHRS3,-4.30901489354596,7.907553696025977,8587.579927747141,3.434318238019205e-23,3.911679028408486e-21
3296,CXCL10,12.857828261038033,9.481912283950452,8579.992596681392,3.4585326484471695e-23,3.911679028408486e-21
12641,SLC2A6,4.4751631299284895,8.080821692631613,8461.425402341696,3.863032419840536e-23,4.320085581423916e-21
234,AA467197,8.749464210112556,8.116983610297424,8433.34090788304,3.96647717559348e-23,4.386483036520212e-21
936,AOAH,5.327901782011847,8.477765063122405,8352.75106515144,4.2810539349325324e-23,4.682343935646538e-21
14430,TOR3A,2.5657117034698578,8.558531702266592,8330.372471479284,4.373321603662029e-23,4.723275122033604e-21
5974,H2-DMA,4.053966951650446,7.195999035912714,8307.07359689823,4.4717692565515995e-23,4.723275122033604e-21
7500,LGALS3BP,3.7100940119973305,10.652965598527413,8304.564120759464,4.482520849023853e-23,4.723275122033604e-21
9704,PARP11,2.8324228788668786,6.48020116541939,8298.574543665505,4.508300377707147e-23,4.723275122033604e-21
13323,ST8SIA4,-3.7454575377453145,6.810323340296821,8185.804450175777,5.0262225692054683e-23,5.2110409615939606e-21
4216,EIF2AK2,3.365619301984153,7.487963955107974,8169.587703647638,5.106069929447741e-23,5.239248866782821e-21
1632,BIRC3,3.1045450589705834,7.218293573119432,8157.976565719563,5.1641175967333055e-23,5.244741065335367e-21
4879,FGL2,3.706737885082592,7.9216188216852785,8140.630798644918,5.2522233267038384e-23,5.2803412899680106e-21
5036,FPR2,10.179029788928725,7.435754291248442,8090.837657241037,5.514688090105772e-23,5.488769056082275e-21
12794,SLC7A2,6.4009702505968935,11.494394468525813,8060.516972772006,5.68173033181401e-23,5.599035840846024e-21
8074,MCTP1,-7.121089899595702,5.913894369444422,8038.2892115863615,5.807806687378453e-23,5.667166662693896e-21
7897,MALT1,3.2400267808631122,9.29609146132011,8014.2293522811715,5.947836324698753e-23,5.7474577611385135e-21
9429,OASL1,7.5741573159363655,9.317445972973331,7861.0258478299065,6.933937404391524e-23,6.635911440952773e-21
13011,SOCS3,6.34968436340503,7.861696447266311,7728.750496710009,7.935074987404192e-23,7.521695366631802e-21
12462,SLAMF8,4.769123397975679,9.638796724390321,7618.375129673439,8.896020996763935e-23,8.353028017055796e-21
5951,GVIN1,4.353631528003852,9.409325243481499,7581.203737784972,9.24861096361565e-23,8.602936908492202e-21
2843,CNN3,7.1548516299530505,7.2903038953219195,7563.831635384476,9.418767573963359e-23,8.680092005894196e-21
9713,PARP9,3.2482329518422763,7.464599134700776,7464.11360165962,1.0466366997899739e-22,9.424782710886287e-21
10313,PML,3.1297839685116804,7.5334939358969875,7462.006257241072,1.0489878724358305e-22,9.424782710886287e-21
11617,RNF19B,3.273607941448061,8.330851979721364,7454.305997735465,1.0576297729449519e-22,9.424782710886287e-21
14548,TRIM30A,3.79179878529831,9.27234721576708,7451.710857672418,1.0605602970152357e-22,9.424782710886287e-21
15036,UPP1,11.789723272025013,7.550479133320387,7434.530313872708,1.0801933046973789e-22,9.514304390843373e-21
8329,MNDAL,3.7070910483862733,8.0024007851562,7364.560568017507,1.1644887608613515e-22,1.0166804067414939e-20
5533,GM5431,3.1652032220838153,6.662830525722309,7343.272650407051,1.1915859572670154e-22,1.0312917419720525e-20
3533,DCK,2.787631004927652,6.797069075060744,7320.051352800288,1.2219565605618903e-22,1.0484597971786633e-20
5318,GGCT,4.305833757328135,4.933898909280792,7275.79897998844,1.2822766689170215e-22,1.0908119389513774e-20
9007,NFKBIE,4.232791076247113,6.617657881060699,7150.64910018844,1.4718283310305808e-22,1.2414497778599466e-20
14427,TOR1AIP2,2.135367346622333,8.46266691358047,7124.413719416344,1.515449508104629e-22,1.267501592787006e-20
7457,LCP2,2.7996389494638274,7.7824598223572785,7106.500320721121,1.5460696996651017e-22,1.2788413100576033e-20
12195,SERPINA3I,11.54590855420357,4.235832941287476,7101.520560834428,1.5547050991356374e-22,1.2788413100576033e-20
8277,MLKL,4.492530574233807,7.595548472485106,7089.9447678746055,1.5749892521145281e-22,1.283565285455833e-20
12461,SLAMF7,2.6245592446983435,9.111876324408898,7083.595939199708,1.5862406320814574e-22,1.283565285455833e-20
9705,PARP12,3.3568216323094653,8.294484306611517,6987.61840299087,1.7678437773428528e-22,1.4189797674107592e-20
520,ADAR,2.483224659501448,8.099061459875132,6955.025651714973,1.834749459478269e-22,1.4609009096149767e-20
