gene,genes,logFC,logCPM,F,PValue,FDR
10928,PTGS1,2.711247824920347,5.9725664501846225,4831.280885239738,2.4525029515784587e-20,2.4287136729481475e-16
2674,CISH,6.6233341280649585,3.167165035567879,2805.512439662553,1.4589099521911766e-18,7.223792628274611e-15
14228,TMEM26,4.774398602733863,7.012859965233754,2316.820373601123,6.1349459510119006e-18,1.5455548795231706e-14
11092,RAB3IL1,2.5424418372058706,7.166578897946209,2284.0584641642586,6.826536917314066e-18,1.5455548795231706e-14
6754,IRF4,3.2044971301208185,5.072114587622888,2209.2867775284467,8.761942706325284e-18,1.5455548795231706e-14
9878,PDIA4,1.856418827253227,7.487926597589826,2189.787483894773,9.36416164509646e-18,1.5455548795231706e-14
13642,TANC2,1.9274830767341495,6.073212478589564,2073.7172764509646,1.408573950430381e-17,1.9927296901588662e-14
12794,SLC7A2,3.084297851086738,8.522939195687236,1983.1791938778763,1.9682043332546527e-17,2.4363909390276033e-14
9451,OCSTAMP,7.869669151761789,3.2481368076816177,1922.4501252849216,2.4846404115264924e-17,2.7339326661496502e-14
9473,OLFM1,2.280385045542908,4.7089641501742365,1866.4237009511967,3.10081283768817e-17,3.070734953162594e-14
6633,IL6ST,1.3648162675584432,8.910209854108466,1788.8440487258297,4.2613050695070523e-17,3.8363367366662126e-14
1065,ARG1,6.427367633204342,8.291519750448526,1744.2324444762273,5.1481736455363853e-17,4.248530300978902e-14
8218,MGL2,6.198891037706808,5.034597234361737,1710.375514204063,5.961721146117594e-17,4.541455731538656e-14
12866,SMAP2,1.5187029229418632,7.956474695727567,1690.853519286652,6.496552496544145e-17,4.595382812376905e-14
5234,GATM,2.6193149420982955,5.347833010609537,1634.6004752882543,8.368246441855989e-17,5.336326835756184e-14
9830,PDCD1LG2,5.652127072218292,3.883289641717136,1628.09281313565,8.621753950530036e-17,5.336326835756184e-14
10248,PLEKHF1,4.2963785394009175,2.5865599684928524,1494.3016315737038,1.637182046268005e-16,9.537066943642384e-14
11617,RNF19B,1.2193824383759746,6.856650147216515,1447.663514133254,2.0750238523690182e-16,1.141608956111688e-13
2245,CD24A,-1.824600924532917,4.67778892903057,1377.0067134949527,3.0156911515379164e-16,1.5718099722989468e-13
6457,IER3,3.0250242069748974,4.551096321641657,1331.4667332089136,3.8767236509786196e-16,1.9195597157820634e-13
8405,MRC1,1.6182178902997557,8.111027947454538,1317.3682461071899,4.197426593053462e-16,1.9793864548099255e-13
666,AK2,1.110479311197868,6.705943409743806,1281.2633970091538,5.165057702849153e-16,2.3249802923325076e-13
8049,MCF2L,1.7682780021348146,5.623150238810915,1267.9222415291522,5.584727729667249e-16,2.345283923807548e-13
7898,MAMDC2,-1.6575806220502742,8.803388346152552,1260.5052396070578,5.834674145919481e-16,2.345283923807548e-13
1547,BCAR3,1.2147844726767574,7.060133116491572,1258.037076847621,5.920640017690468e-16,2.345283923807548e-13
6623,IL31RA,8.058606498594926,2.0729738293252464,1249.3204864754696,6.235921700196514e-16,2.3751666383479256e-13
4959,FN1,0.9899987570324801,11.285876433644265,1231.2556304035184,6.95178908461818e-16,2.549761752036068e-13
11183,RAP2A,-1.0249666663204446,6.868418906093218,1191.989865797194,8.852944416673422e-16,3.1310967342256034e-13
2349,CDH1,5.088522315512643,3.615964488657473,1154.5654462198713,1.123017274551701e-15,3.8349103689260326e-13
9000,NFIL3,1.64611282485124,5.008972054550542,1140.2701091791303,1.2323099166971517e-15,4.0678550350172983e-13
11382,RETNLA,3.3168629931796625,7.388368090617644,1134.7683176478313,1.2775449589231042e-15,4.0811379768437097e-13
2161,CCL9,1.8995746807544258,7.564604875023882,1087.8835272751194,1.7495202705794434e-15,5.414218512358821e-13
10206,PLAU,-0.8621116288866738,6.774006846137665,1072.988389190913,1.938726470447788e-15,5.817941889952862e-13
3335,CYFIP2,-1.3534537105659796,6.384105986930434,1066.6460208932897,2.0262452783274786e-15,5.901737350375594e-13
10970,PTPRE,0.8572392919390925,8.111498220683204,931.3885789564915,5.5571747294070025e-15,1.5723628955805012e-12
567,ADRA1A,-2.5162997612296487,2.9085554845614876,906.6280988917741,6.78918163508435e-15,1.8675907147844533e-12
12150,SEMA4D,-1.8664263120146465,8.138961790888104,886.4072523570884,8.027667618245001e-15,2.1070344451863427e-12
4096,EAR2,4.51140299547974,2.092523921570296,885.5560538192243,8.085156913771687e-15,2.1070344451863427e-12
2155,CCL3,-1.2403198865948561,4.33798895589127,882.0544602248084,8.326607223519013e-15,2.1143177265258664e-12
2420,CDO1,-3.1381155947073833,2.1943057383639766,876.6727274906792,8.713793070626392e-15,2.157317319460329e-12
4530,F10,1.3084276790429785,8.225349974429093,867.1032622551832,9.453716290657662e-15,2.283418351862996e-12
838,ANGPTL2,2.9884566556705776,4.30805493512296,834.4231353228732,1.2573170567628617e-14,2.964574003124433e-12
10924,PTGIR,1.136055570276413,7.507795617798893,808.2867749756223,1.5921041477207775e-14,3.595641934331352e-12
11159,RALGDS,1.9275664433681483,5.577743885636347,807.9127198072358,1.5975789670865343e-14,3.595641934331352e-12
