gene,genes,logFC,logCPM,F,PValue,FDR
2160,CCL8,7.787727370166164,5.966686555837036,2519.014360204779,6.028106503219453e-12,6.09863534930712e-8
5270,GDA,3.441420395828144,6.5918117162949645,1628.1185200772766,3.932906971829581e-11,1.9894609916999936e-7
1741,BST1,2.738801606538539,4.926607306577954,897.0085258197562,5.061644153754421e-10,1.5914218429960645e-6
2265,CD38,7.1622394650811625,3.724044308725325,852.5015063786734,6.292070151215042e-10,1.5914218429960645e-6
14003,TIMP1,4.169943305706809,2.0676942489623773,573.3315264140804,3.4181574282929627e-9,6.916299740407981e-6
3252,CTSL,1.5366169354663686,10.922256494953382,500.5475988974867,6.088256456765672e-9,9.004060293755207e-6
4879,FGL2,3.610084655394333,8.484893539802576,485.5554390267606,6.927528885356561e-9,9.004060293755207e-6
6349,HSD3B7,1.3055454385482768,6.598299683359322,471.51805371005,7.846192651405208e-9,9.004060293755207e-6
4352,ENTPD3,9.187145572647996,2.256216746387115,460.4175091330542,8.680777582789697e-9,9.004060293755207e-6
2809,CMAH,-3.3179103477246397,4.200556178810566,457.71927581369096,8.899931099886534e-9,9.004060293755207e-6
12299,SFXN5,2.085593625805927,4.567757689246655,421.1037672537027,1.267268908749381e-8,1.1655417772561353e-5
12473,SLC11A2,1.2420158758679247,6.29620724332381,391.93313781246957,1.717246111145751e-8,1.4477815755384636e-5
7759,LSP1,-1.2388557677292327,8.377896110396255,381.81109913136424,1.918162682590247e-8,1.4927732199819638e-5
1817,C4B,4.190418738616692,4.24895094260797,364.42553937040606,2.3356684469501896e-8,1.6878541198425047e-5
6211,HMOX1,1.0263002316275316,8.92278388462785,355.37931948660713,2.597207290392163e-8,1.7517297437931678e-5
8877,NDRG1,1.4054915696588715,8.10576353421449,346.34914721690234,2.895209163697726e-8,1.8306769443206182e-5
5766,GPR85,1.8045158308179907,3.434064060750347,332.4778810670811,3.439844841755092e-8,1.9328131907346125e-5
2843,CNN3,3.1482394412697974,0.9327709546017183,329.1144317131022,3.5904592496460005e-8,1.9328131907346125e-5
8524,MS4A6D,1.8641426667859875,8.452329241197464,328.26282299361276,3.629875518825505e-8,1.9328131907346125e-5
12480,SLC12A7,0.8141264574618393,6.870319163921447,319.3556564569771,4.075860716813877e-8,1.971571885744521e-5
12133,SEL1L3,1.879473476593327,2.8736014756606933,319.0483303188786,4.092419650156661e-8,1.971571885744521e-5
7384,LAMC1,1.2237652777927879,6.891679588059464,311.80208351160064,4.5080058578301914e-8,2.073067966530366e-5
7766,LTB4R1,4.104529853634387,2.0453732424953017,300.6508833158181,5.2543915222965733e-08,2.2910077218997017e-5
223,A4GALT,5.973662168774197,1.0958710102551887,298.24619072559545,5.434831009745265e-8,2.2910077218997017e-5
11594,RNF144B,-1.828652865489164,6.43045385569563,288.78394595085206,6.223387687950823e-8,2.4550317606224836e-5
4396,EPS8,1.3244505313741552,7.238412585578048,285.9059718236842,6.4907711200211e-8,2.4550317606224836e-5
10004,PGS1,0.8912155809482271,5.665413130573077,285.2681974147398,6.551928193813092e-8,2.4550317606224836e-5
8259,MIXL1,7.042725617366511,1.2074019940209622,276.4832497008682,7.471192769364116e-8,2.6532573020811352e-5
9286,NRP2,0.8908503592708061,9.154502399348253,275.31191334083303,7.605462267505477e-8,2.6532573020811352e-5
4346,ENPP6,2.1104152449702864,2.9221065243835564,258.7403080603246,9.865840210183271e-8,3.087605026550995e-5
4555,FABP4,2.323334796825456,4.915207038717957,258.334594345898,9.930888973613732e-8,3.087605026550995e-5
6395,HTR2B,2.1898326676800384,3.59210645116075,257.083453187046,1.0134840797713105e-7,3.087605026550995e-5
1466,B4GALT5,0.8210796533455094,7.920374092681639,255.6748664347551,1.0370669949150072e-7,3.087605026550995e-5
4142,EDNRB,4.0335523752412605,8.869119325937163,255.6408240657253,1.0376452594912902e-7,3.087605026550995e-5
13011,SOCS3,5.986237492203606,5.642816848534045,252.14587231709297,1.099186397597514e-7,3.1772767955697284e-5
6608,IL21R,1.4011117954391898,5.5038048660974015,250.17898315057474,1.1357999676105475e-7,3.1919134089766414e-5
5265,GCNT2,3.4632803142548694,1.7742173604777394,242.14792736775786,1.3018330817100862e-7,3.5596338615299845e-5
14457,TPPP3,2.721818322742727,1.4455677964418279,230.34974949540208,1.6037977248952483e-7,4.2009572481296855e-5
6628,IL4RA,3.3384178305681074,9.309492587366599,229.81503468706237,1.6194260420782618e-7,4.2009572481296855e-5
9896,PDPN,5.113402570506148,2.7403650142235967,224.8157542053582,1.7750126026948519e-7,4.391858636960952e-5
6424,I830077J02RIK,1.1810149478966352,4.313464829142774,224.66942113840733,1.779837937287724e-7,4.391858636960952e-5
2249,CD28,-1.2667652214450043,7.931391665293125,222.14868853419773,1.8655529711479839e-7,4.462492659557642e-5
2192,CCR1,3.7696058243792137,6.080712706371321,221.26836474678072,1.89668067965779e-7,4.462492659557642e-5
11926,SAA3,6.521193977226187,3.7175154944205824,214.91003854137014,2.141590582039746e-7,4.8518670604465023e-5
9270,NRCAM,2.8936431673749277,4.884432667350522,214.51418678653917,2.1580905181387033e-7,4.8518670604465023e-5
4363,EPAS1,2.147083452253642,3.7394567854218175,211.1018879337003,2.3070180461135238e-7,5.007566465513514e-5
4518,EXT1,1.0824494058405865,4.559934450695322,210.67914697964932,2.3263380832177043e-7,5.007566465513514e-5
8230,MICAL1,-1.404818570398321,5.5652483900468726,204.44772254468896,2.635659567190296e-7,5.544145104781078e-5
11217,RASGRP3,-1.7128690005621003,6.887273835108338,203.53330151984977,2.6852140964146763e-7,5.544145104781078e-5
6811,ITGAX,2.013560220190273,2.646979232796755,201.711471813426,2.7874107831345504e-7,5.6400469785944496e-5
5169,GADD45G,2.9311707136085747,2.6706506005899153,199.6424782044592,2.909349038547272e-7,5.771349847643677e-5
11060,RAB19,-1.3862440689669542,3.7754020207834964,197.76290013063016,3.0258670129838483e-7,5.7945621942877274e-5
6333,HSD17B10,0.6887847140779609,5.577202405124095,196.76671051576648,3.0899533809110406e-7,5.7945621942877274e-5
5360,GJA1,3.8883886041199474,4.418421599474241,196.72187373783507,3.0928769248941117e-7,5.7945621942877274e-5
4341,ENPP1,1.1230412086969694,5.4240652397353255,194.41883869942507,3.2477365564331203e-7,5.935562425128898e-5
9608,P2RY1,-1.1432394816560374,4.041557929984378,193.8780534185247,3.285474901722035e-7,5.935562425128898e-5
1433,AXL,-3.3342503118642663,5.639324134015993,190.67487534914872,3.520429944421799e-7,6.248454341704447e-5
407,ACSL1,0.722168888582731,5.919493532383015,187.86176536594718,3.744056534291579e-7,6.530796544384122e-5
657,AIG1,1.4556482815634348,3.829513963807301,186.64758434784977,3.8459684577056105e-7,6.594858116374179e-5
13924,TGM1,2.1508692437903796,2.851012891735924,185.03739837760975,3.9864460504704315e-7,6.721812448768227e-5
10891,PSRC1,-1.2502149594515914,3.8379884145384833,182.28202017295374,4.2418107299850383e-7,7.035147402501415e-5
2282,CD5L,3.432934379152421,10.989919161376106,175.71735301331063,4.936337423923156e-7,8.054988019004931e-5
12627,SLC28A2,1.0656795152463363,6.058342366765163,172.7898662242175,5.290969876312672e-7,8.496625752167509e-5
4480,ETV3,1.165826738596605,7.715501992201542,171.75185399108528,5.424206831527517e-7,8.539236292108267e-5
3282,CUX1,0.696804090935157,8.221700484803492,170.71696593261532,5.561181142919426e-7,8.539236292108267e-5
9047,NIPA2,0.7384035285610104,6.787629137989394,170.6460790792839,5.570718545805532e-7,8.539236292108267e-5
4556,FABP5,1.9421856890481577,9.39341494246957,168.29441735116413,5.898861935762438e-7,8.779490357664071e-5
14346,TNFRSF1A,0.639835964390945,7.845263756722495,168.26192487206777,5.90356021181063e-7,8.779490357664071e-5
8585,MTMR10,1.0231409418902069,7.156743750362304,167.68474627868602,5.987791189866768e-7,8.779490357664071e-5
9296,NSF,0.6182435786762241,7.372079938251945,166.73163252856332,6.130150911673733e-7,8.859819539057595e-5
6093,HEATR1,0.6295285196688193,5.927102973615638,165.7500135202494,6.281152111983593e-7,8.881429385114176e-5
4797,FCGR1,0.8819613395465811,8.689211800990156,165.4114204618139,6.334297979818182e-7,8.881429385114176e-5
955,AP2S1,0.6788462124698132,8.04173651954103,164.9447102574137,6.408464417449193e-7,8.881429385114176e-5
15454,VMP1,0.8305389520133973,6.762018962698845,162.39443388014524,6.833176192422189e-7,9.34205993766693e-5
8180,MEX3B,-1.8576013466129846,4.952866184082819,159.40869956593417,7.37539973114133e-7,9.948922543994245e-5
5533,GM5431,-0.766902897859633,7.1975925761550705,158.46242779256082,7.558222041173664e-7,9.991970285263326e-5
4959,FN1,3.8397569015993853,0.2760597442468797,156.89477063611994,7.873552463904875e-7,9.991970285263326e-5
1654,BMP2K,1.1964613044135242,7.210140702743982,156.46793861821038,7.962201405286341e-7,9.991970285263326e-5
15157,VCAN,1.8444799559545602,1.004586899258222,156.36275361638542,7.984235869704939e-7,9.991970285263326e-5
10663,PRKX,0.7691497284384233,7.320061429807836,156.29697239508462,7.998054096418939e-7,9.991970285263326e-5
12415,SIPA1L2,1.0549648649054306,4.873962843005446,156.2882092537077,7.999897134588607e-7,9.991970285263326e-5
6523,IGF2R,1.0287099887296878,7.174673204252397,155.2082385955854,8.231094544935033e-7,1.006152152601941e-4
11987,SBNO2,1.7167567871817913,7.86435431668114,155.10105987345435,8.25448538756164e-7,1.006152152601941e-4
2258,CD300LG,-2.2220007058964693,1.8490726528493466,153.63535618341461,8.582731416805538e-7,1.0337082588550194e-4
15150,VAV1,0.6159923791114247,8.100598104601152,152.7600399045271,8.786439098248929e-7,1.0457929924351108e-4
3035,CPNE2,0.7651876206242237,6.077392425492948,150.76414488651307,9.273666470625995e-7,1.0903144867344568e-4
10461,PPBP,2.186648509244132,0.704412189042801,150.36119301398818,9.376036408609048e-7,1.0903144867344568e-4
3683,DENND1A,0.6708702710347987,7.498487119833913,147.8082924364679,1.005798694589122e-6,1.1563256128588805e-4
2261,CD33,-1.5156230105563977,7.1136762085931275,147.0137216071329,1.0282615317019515e-6,1.1640384877402458e-4
922,ANTXR2,0.7545356308330419,7.937180254600665,146.43453870778433,1.0450255460250375e-6,1.1640384877402458e-4
4308,EMILIN2,1.4657195104345182,7.90136471613865,146.36622935206037,1.047024833294083e-6,1.1640384877402458e-4
6887,JUN,0.8973383940616951,7.700560499613036,141.63440420082082,1.1977631014212122e-6,1.317148836638957e-4
14479,TRAF3IP3,-1.001635916185275,5.104753090469005,139.62068508840866,1.2699702505386731e-6,1.369543254410843e-4
589,AFG3L2,0.9181518740355343,6.009994534925918,139.55317444221026,1.2724826125790179e-6,1.369543254410843e-4
1065,ARG1,7.194920255899778,1.1599875897801053,137.73297592858336,1.3425881299802768e-6,1.4286983099610564e-4
13728,TBC1D9,0.7834932965633942,6.618640539742848,137.40581221201305,1.3556888183874806e-6,1.4286983099610564e-4
2677,CITED2,-0.7445320548021046,6.756228811878199,135.8263058071228,1.4211988580887321e-6,1.482295757451928e-4
1933,CAPN5,-0.8862876189812233,5.458366810614153,134.647938068298,1.4726248425163456e-6,1.500903204451532e-4
10709,PROKR1,2.2152526698727693,1.1935785655412963,134.5543541956847,1.4768064968987763e-6,1.500903204451532e-4
273,ABCB1A,-2.05729740393761,2.854910931525843,134.40421777895017,1.4835457195329961e-6,1.500903204451532e-4
1140,ARL11,-0.5032666161085352,7.345502683581887,132.19539185838838,1.587214795475507e-6,1.5743924421874833e-4
9210,NPL,1.1678738811965563,3.9161021019379936,132.19347073688093,1.5873087783248324e-6,1.5743924421874833e-4
7682,LRRC25,0.7175671536964929,7.543331867402128,131.04196070168769,1.644896787816364e-6,1.6156719225571023e-4
13780,TCF12,-0.5629701024631004,6.85373460191414,130.67290725182656,1.6638961546977896e-6,1.618618980488225e-4
15114,UST,1.6255941437032004,3.768820892593982,129.6888903411774,1.7158921178504101e-6,1.6533029101231046e-4
890,ANKRD50,1.0194877354463923,5.976908514501388,128.8876241163936,1.7597165203483466e-6,1.6795332109777568e-4
7905,MAN1A,0.7517784429046411,8.839382775833256,127.44112726455043,1.8423788258726554e-6,1.7302371066126786e-4
492,ADAM9,0.9503009624447426,8.806064963991416,127.36185699060252,1.8470456411403507e-6,1.7302371066126786e-4
1047,ARAP3,-1.298590670995518,5.8845634346853855,126.4306263947874,1.902974903381143e-6,1.750788971922757e-4
7106,KIF5C,-0.9691659817542173,4.23926673053639,126.42047830141547,1.9035957982752127e-6,1.750788971922757e-4
9119,NME4,0.7372858924047873,4.674532961484606,125.9065887987714,1.935366218544812e-6,1.7639729759475552e-4
6618,IL2RA,3.649663436738791,-0.11834111784748752,124.81384577905277,2.005123172854868e-6,1.7976980958801808e-4
8239,MIDN,0.6256851766335587,6.153489698264007,124.77122228948751,2.0079063441184186e-6,1.7976980958801808e-4
11557,RNASE6,-1.1927507218023796,4.003580271018558,123.9136728427641,2.0649260548782006e-6,1.8325313067721718e-4
6861,JAK3,1.4732630535470395,6.095247954091846,122.8364501141095,2.1394075909685267e-6,1.8821205737242248e-4
8474,MRPL52,0.9498426857043565,3.444108730703401,121.80177363404754,2.214087428421394e-6,1.931027802874073e-4
1134,ARID5A,1.4924777179272057,4.87980311511694,121.33265721526729,2.24900365541376e-6,1.944715383061625e-4
1985,CASP4,0.9979536844049769,5.515087790012297,120.3123134905613,2.3273197719064336e-6,1.9810289931645547e-4
3084,CREG2,1.0834189085330728,4.153468474515452,120.27608652970274,2.330161611016922e-6,1.9810289931645547e-4
12709,SLC39A14,1.5618034228964568,5.003318103947771,119.20585264755674,2.4160789652950037e-6,2.01379084923175e-4
11092,RAB3IL1,0.9657670189323643,8.7102089619271,118.99012232701563,2.4338674883890845e-6,2.01379084923175e-4
12502,SLC16A3,1.542784729272779,6.4285215785264525,118.86470970312915,2.4442828393661285e-6,2.01379084923175e-4
8669,MYD88,0.8222962683399354,7.07120148456459,118.46300893068998,2.4780152145931786e-6,2.01379084923175e-4
894,ANKRD55,-1.004016359899085,2.3360853927426257,118.01381567264413,2.516417623250766e-6,2.01379084923175e-4
737,ALDH9A1,-0.626865134950798,7.812337650556083,117.95974128207106,2.5210898382787133e-6,2.01379084923175e-4
14554,TRIM34A,-0.7198633793636265,6.183387808352542,117.93686729010788,2.5230694466238647e-6,2.01379084923175e-4
13171,SPP1,1.887013423306572,12.648928926833449,117.80599717487951,2.5344323709182787e-6,2.01379084923175e-4
9664,PAM,0.6837367850048867,6.357698379320474,117.65247522888932,2.547842529422398e-6,2.01379084923175e-4
14490,TRAM2,0.6006893928617733,5.051384765428224,115.72192298365741,2.724175603536546e-6,2.136471672944127e-4
2218,CD151,0.546893714899008,6.038964695818043,115.36160436945089,2.75873275246245e-6,2.1469307120509698e-4
6530,IGFBP6,2.808336558742622,1.6080647869369888,114.56057359898419,2.8375126064493075e-6,2.1913828274387515e-4
2411,CDKN1C,-1.8788344839045754,2.384344871790968,112.63334209427582,3.0387107315948758e-6,2.328987611480709e-4
1965,CARD11,-2.497893693856846,4.575636790768596,111.94683509395986,3.114601548659379e-6,2.3692048020892433e-4
3292,CX3CL1,-2.257463945940741,0.6905969459944057,111.45197462849342,3.170758168389454e-6,2.3939224171340377e-4
