gene,logFC,AveExpr,t,PValue,FDR,B
PLXDC2,-3.4016906937614206,7.083876077536944,-31.865903311886406,4.508878057710512e-12,7.359390765795097e-8,16.96788768055779
SLFN4,2.886636964955855,9.38741314873616,22.850452976901956,1.585322108733058e-10,1.1409646590431517e-6,14.318972961154888
SESN1,-1.6664809127585538,8.314070672712887,-22.25771378015765,2.0971045074926204e-10,1.1409646590431517e-6,14.088787123646302
ABCA9,-3.054052285292939,5.00644943240038,-20.324106215218137,5.504873098130538e-10,2.1650781260244207e-6,13.273392167379853
MXD1,1.9276680439844678,9.260991236770922,19.802567230854084,7.249699950211681e-10,2.1650781260244207e-6,13.035009589365714
PTGES,2.1996318851514887,6.5057059741411525,19.605484717125922,8.059091067363532e-10,2.1650781260244207e-6,12.942723489141969
GPSM2,1.811614106599711,7.208278921362441,19.29867022403869,9.521941170049655e-10,2.1650781260244207e-6,12.796572172286606
CD274,2.1064202403190246,9.252815010897038,18.717869348469335,1.314898463079748e-9,2.1650781260244207e-6,12.511351114539796
IL1RN,1.7969306328998547,8.448908069430317,18.6466085302909,1.3689017452061466e-9,2.1650781260244207e-6,12.475561858803122
SLFN1,1.9202544472175735,8.94781391113733,18.624114541387303,1.3864464002925272e-9,2.1650781260244207e-6,12.464227910139499
CD38,1.8869779802416815,7.423880193345613,18.534125129625227,1.4591262949558038e-9,2.1650781260244207e-6,12.418707620111796
PDE7B,1.603671742166634,9.331251737721633,17.804881415787648,2.227159014425839e-9,2.9295924646018424e-6,12.039053360265545
IRF7,1.227244075144162,11.279791945239154,17.726241815278254,2.333335500540617e-9,2.9295924646018424e-6,11.996933580644175
TMEM171,1.6346449903122036,6.713743355525837,17.196222632745854,3.2102053413541333e-9,3.742640827255869e-6,11.706802173687983
OASL1,2.4030043870495734,9.508098064136817,16.95832030600874,3.7155921562517656e-9,3.940245282577237e-6,11.572935543316635
GAS6,-1.3687254945456062,8.629374021727815,-16.802861881650593,4.092323357693504e-9,3.940245282577237e-6,11.484203845313704
HPGD,-2.990034904654523,6.146141733021839,-16.798327175526488,4.103919238072113e-9,3.940245282577237e-6,11.481600451355764
THBS1,1.209894061097223,12.091218418178308,16.63851589452943,4.536330656271829e-9,4.100058000305415e-6,11.389299602390558
AA467197,1.8764928694071883,6.92118960639851,16.558004024066985,4.7727669406814656e-9,4.100058000305415e-6,11.342388627440616
