gene,genes,logFC,logCPM,F,PValue,FDR
1065,ARG1,8.444504117251398,8.167197337281376,11746.96262440206,4.345151796704024e-15,3.01558750460989e-11
6811,ITGAX,6.169308963871407,10.393348437623333,10374.253952435995,7.512940408667376e-15,3.01558750460989e-11
9451,OCSTAMP,7.250697337614363,7.424840985797841,10001.597037178592,8.826970937486261e-15,3.01558750460989e-11
5675,GPC1,4.976293082702076,7.858416286142602,8346.628041328922,1.9584591049761028e-14,3.558287735231941e-11
8301,MMP12,5.5442780253388495,12.099796065475797,8271.511946752293,2.0380293054660076e-14,3.558287735231941e-11
4192,EGR2,6.014969679768295,7.291544189821499,8230.539523229316,2.083103367293555e-14,3.558287735231941e-11
4530,F10,7.382834826208771,6.683567939656588,7690.440768250676,2.809057821116932e-14,4.1128619440896335e-11
3293,CX3CR1,-6.174637697548375,8.122011438924202,7156.969924613142,3.85555855186505e-14,4.654289627258676e-11
4543,F7,8.647073907037898,6.634929350647779,7062.834412892464,4.087092071941466e-14,4.654289627258676e-11
10292,PLTP,3.818039181313614,10.024565554432536,6860.370321775126,4.6456819822993184e-14,4.7083461108392004e-11
5972,H2-AA,4.580766951095516,9.47810495586045,6730.595345792045,5.0533522508763e-14,4.7083461108392004e-11
1359,ATP6V0D2,6.399968909351149,9.65951962435192,6408.397810465459,6.272003131454812e-14,5.1374406472361944e-11
13329,STAC2,5.994084654602903,6.866648486989517,6353.0113943957795,6.516414129580498e-14,5.1374406472361944e-11
2290,CD74,5.064805045006262,11.758640694464386,6182.706077724028,7.344792106072706e-14,5.3769124496527975e-11
2665,CIITA,4.167009526261475,7.383675488017672,5624.074422982926,1.1145188043437693e-13,7.197368170534986e-11
1283,ATF3,3.7522919631580254,9.273783511618445,5613.717606043131,1.1236012364968268e-13,7.197368170534986e-11
920,ANPEP,4.133768481547874,10.211108090686588,5357.935855900664,1.3797132274875269e-13,7.91291218881543e-11
299,ABCG1,3.623987890269044,8.932192010355127,5349.148908263471,1.3897201619541198e-13,7.91291218881543e-11
4939,FLT1,6.680032176230885,7.07224396953883,5112.541038515185,1.6960286913828102e-13,9.148735819990748e-11
7689,LRRC32,5.971856234086261,6.367408090009871,4882.233051581775,2.0776080852346525e-13,1.028019163670971e-10
10812,PSAP,3.0278801357826097,14.375729586998299,4820.106357077112,2.1981059490214066e-13,1.028019163670971e-10
14519,TRF,3.511362133144375,10.117886761932258,4815.837977860834,2.2066954435321848e-13,1.028019163670971e-10
3251,CTSK,5.475339665500303,5.435746381834321,4710.304756492141,2.432784623354236e-13,1.0840699828155463e-10
2760,CLEC7A,4.252363659490823,8.758728828620226,4627.451568110334,2.6304522747006813e-13,1.1233127234753036e-10
714,ALAS1,3.2832522468764953,8.271274359528329,4507.754771197634,2.952094981817001e-13,1.1719156270941294e-10
8218,MGL2,7.914432810369488,8.518621206459036,4500.549915192804,2.9729540740020845e-13,1.1719156270941294e-10
15519,VWF,5.490196817993028,8.43702652949791,4306.455021920962,3.6095968481120234e-13,1.3380169855561784e-10
8307,MMP19,4.019791346825041,7.096843170444828,4270.272286791316,3.746163347777211e-13,1.3380169855561784e-10
10273,PLK2,3.1511012202066992,7.959459990736348,4237.065591853968,3.8771149413216555e-13,1.3380169855561784e-10
1081,ARHGAP25,2.9720577247284163,8.79054813845912,4227.339435923616,3.916529375225422e-13,1.3380169855561784e-10
7145,KLF9,4.45641896644063,6.40577346295398,4181.219014151739,4.110261502812237e-13,1.35890548846202e-10
12071,SDC1,3.5155980861809875,6.954581872708523,4041.4487863352792,4.773682977959765e-13,1.528921151284676e-10
3549,DCSTAMP,5.202728978633225,7.002797198049259,3927.05064946701,5.416676665128695e-13,1.6822884588152723e-10
11159,RALGDS,3.543022858227081,7.0549785185798655,3837.211519064379,5.997372640424603e-13,1.8078550644621103e-10
3483,DAGLB,2.713914934932376,8.87223008593209,3778.281301284789,6.420035317104446e-13,1.8498299422471088e-10
5973,H2-AB1,4.403984297145905,9.65625563326204,3746.9773969865196,6.659417495341266e-13,1.8498299422471088e-10
5311,GFRA2,7.203630744369504,4.573968202004145,3744.5942476905425,6.678086434105086e-13,1.8498299422471088e-10
12794,SLC7A2,5.8466233017981155,8.177053929280312,3567.898157692355,8.260691065550732e-13,2.2279953350218278e-10
10196,PLA2G7,3.841835742698853,6.943325538795552,3494.710214278425,9.049366724616074e-13,2.37812716822026e-10
4383,EPHX1,3.4917974175821223,7.02376074662444,3394.611266066639,1.0283538836708177e-12,2.634899738435553e-10
2149,CCL24,6.497206872782776,4.630924721789847,3360.4233694752797,1.0751804653956737e-12,2.687688924351283e-10
14347,TNFRSF1B,2.516911360947697,9.494790507289308,3309.4948226130414,1.1498911819410383e-12,2.806008267550881e-10
6413,HVCN1,2.8310017920227333,7.63375623715635,3088.6504468444523,1.558051288197069e-12,3.7135971285422703e-10
7856,MAF,-2.918392808220577,8.325138149134766,3063.3191373951786,1.615517404272248e-12,3.763054062815061e-10
