gene,genes,logFC,logCPM,F,PValue,FDR
13011,SOCS3,6.114546304585917,6.880995509828878,8368.331867663308,7.833167509380332e-14,5.581762570876187e-10
4142,EDNRB,6.170878885985026,7.408542304936699,7710.388792569115,1.1023526357018242e-13,5.581762570876187e-10
6628,IL4RA,4.136114660481395,10.003555174886284,5007.986583773817,6.669142472189356e-13,2.2512801938620537e-9
4879,FGL2,3.447042633591973,7.757820484528426,4345.053760269933,1.2055965215558569e-12,3.0522689934490405e-9
8524,MS4A6D,3.6167580453161583,8.295859385981649,3311.8125262772724,3.7388489828758574e-12,7.572664729916762e-9
4798,FCGR2B,3.910178247786164,7.233862075104725,3019.4345419232764,5.495139157497225e-12,9.274879041329065e-9
8405,MRC1,3.0063956945183157,10.901724574078807,2880.949596880341,6.682167650480879e-12,9.667187399488553e-9
2198,CCR5,2.5615821304295903,9.34242042127595,2659.421095111116,9.324928662973719e-12,1.1804194071241857e-8
5270,GDA,2.6738759265524528,8.022650440623906,2485.9123512850333,1.2349814550473063e-11,1.36890173971008e-8
3293,CX3CR1,-2.191239299301983,8.469571797318519,2392.014714829238,1.4497132489256917e-11,1.36890173971008e-8
7099,KIF3A,2.4397559649259506,7.295526331316062,2376.5111011683352,1.4894947223615563e-11,1.36890173971008e-8
8303,MMP14,3.8360573151069794,4.664251860285573,2322.1637439661417,1.640078539967812e-11,1.36890173971008e-8
2282,CD5L,2.967849393557026,6.508352136477708,2283.9847483234644,1.75725512157905e-11,1.36890173971008e-8
4800,FCGR4,2.2733130485971116,6.180555180320843,1900.3019164309524,3.7774490757137856e-11,2.7140621594895984e-8
3821,DMPK,-2.925171148152465,7.216733532835703,1872.0791247726568,4.020038747145648e-11,2.7140621594895984e-8
11987,SBNO2,1.903152313616904,8.577400542473285,1827.9463540260178,4.439405608052454e-11,2.8098662870467004e-8
943,AP1B1,1.6419413766312598,9.086429383778324,1729.0712738039692,5.5944861962392225e-11,3.3326683358420357e-8
8877,NDRG1,2.8015616256616944,7.38704081401006,1680.726101337327,6.294620431160071e-11,3.541423394797669e-8
