gene,genes,logFC,logCPM,F,PValue,FDR
9480,OLFML3,10.445664727020409,7.2552964465963825,10880.248716880767,3.3925007804574773e-17,3.4406742915399733e-13
13918,TGFBR1,3.1308873975066023,9.169331435357979,3726.1257240567456,9.39649573763955e-15,1.6651890810411646e-11
3293,CX3CR1,8.636454195829007,9.947925826432044,3685.5597036444346,9.951559723597374e-15,1.6651890810411646e-11
2864,CNRIP1,-4.844313984433714,5.996135605514918,3680.3344949421175,1.0025858857498885e-14,1.6651890810411646e-11
10310,PMEPA1,10.49299904805013,7.379725099227502,3651.9793003413247,1.0440758683954115e-14,1.6651890810411646e-11
4522,EXTL3,3.130650114294759,7.944461879439716,3619.434542526494,1.0942420462910903e-14,1.6651890810411646e-11
936,AOAH,-3.316804754750685,6.74236949141747,3585.693217564937,1.1493121245600624e-14,1.6651890810411646e-11
11564,RNASEL,-2.8271274604358485,8.175368331860193,3470.5243335475493,1.363838194645085e-14,1.7290058712613064e-11
2005,CAV1,7.879012901737178,6.1648323851233835,3035.3701219043637,2.75234038125997e-14,3.1015817940820684e-11
4948,FMNL3,2.5229462599796175,7.267566624247275,2877.6719544255247,3.640012112463339e-14,3.433090244368605e-11
9905,PDXK,-2.522192926058,8.549161095566735,2865.239088716036,3.7235252108119355e-14,3.433090244368605e-11
2161,CCL9,-3.3008076437867273,8.98451289156174,2563.447338234008,6.670173746729995e-14,5.6374085116113004e-11
4939,FLT1,8.050255704937026,6.504820636978596,2445.400152553289,8.53787165487469e-14,6.660853409518393e-11
15144,VASH1,4.6458322946408845,2.7506141075863426,2297.2837354255457,1.1841590677622793e-13,8.578386618032169e-11
12863,SMAD7,4.95096304832414,5.331185482258232,2206.732812321082,1.4615840159679098e-13,9.882256726631027e-11
13037,SOWAHC,4.667612140467289,7.328412952925328,2074.349395982426,2.0203305780457506e-13,1.2806370451587503e-10
12862,SMAD6,7.284941618140786,4.545618171569994,1923.221830558615,3.0011222615875063e-13,1.7904342339423818e-10
8303,MMP14,8.480537943894461,5.550442857451056,1887.6715220064718,3.308741418184047e-13,1.79942755657212e-10
6181,HK2,2.926955650777609,6.841453760359805,1878.187523953537,3.397056777150585e-13,1.79942755657212e-10
13199,SPSB1,5.774016377652903,4.229152485941174,1862.5916196696478,3.5484668833999606e-13,1.79942755657212e-10
5265,GCNT2,6.682771904027523,5.2112685641207595,1768.6044590184092,4.651785390999502e-13,2.2465908302627118e-10
6178,HIVEP3,2.4736487173633632,5.312475618270882,1732.1762807534376,5.186463478432619e-13,2.2586519119019797e-10
9179,NOTCH4,8.227475905737998,6.298437786173039,1726.5389284949667,5.275599495743861e-13,2.2586519119019797e-10
1994,CASS4,-6.1129178452863,2.9220617036303627,1722.2358333689488,5.344867470483881e-13,2.2586519119019797e-10
31,1700017B05RIK,2.4506198446996694,7.590826908002986,1697.5548460882296,5.763740428197249e-13,2.30020452877934e-10
1345,ATP2B4,3.910359643493134,4.340424664954649,1683.923402405397,6.011816748878925e-13,2.30020452877934e-10
14291,TMOD1,-6.776724242533632,3.8286995974134275,1677.9983208708156,6.123597148199781e-13,2.30020452877934e-10
301,ABCG3,-4.607336620117797,3.8985955622356365,1662.430158710057,6.42929788907561e-13,2.328783542535887e-10
5274,GDE1,1.6386511761337192,6.241482805565114,1559.7126202195193,8.972153763453828e-13,2.898068481832139e-10
15176,VHL,2.0512401056914595,6.181022344715448,1546.6133415969796,9.37630525179044e-13,2.898068481832139e-10
16280,ZNRF3,2.404485689661937,4.156284174182052,1543.08066941625,9.48898447721273e-13,2.898068481832139e-10
9036,NHSL2,-3.669126199050564,4.2118769046774815,1534.7635946282842,9.760695189446942e-13,2.898068481832139e-10
5914,GTF2H2,2.5617119968922815,4.9667103615796275,1534.3241444377527,9.77530738027819e-13,2.898068481832139e-10
14099,TMEFF1,11.565946978945163,5.0371986450325394,1530.9965967573462,9.886800990702876e-13,2.898068481832139e-10
2545,CFP,-3.5664233128667737,8.993782988050635,1519.9741835312122,1.0267087594221004e-12,2.898068481832139e-10
6923,KCNA3,3.9218821345489197,3.396023342943604,1519.4112747081974,1.0286971538745514e-12,2.898068481832139e-10
11878,RUNX2,3.3499580441952164,4.578472494718481,1490.157557303205,1.1386406561921467e-12,3.121106360838041e-10
8405,MRC1,-8.503522974553483,10.075242800059714,1450.1030307893616,1.3127548032248846e-12,3.464811809636316e-10
11515,RILPL1,2.6779043003698884,4.384212002825585,1444.6159979732283,1.3390010179933864e-12,3.464811809636316e-10
12307,SGK1,3.894575540582197,8.438136251877362,1438.9986583367229,1.3665201378963976e-12,3.464811809636316e-10
2576,CHD7,3.987088040055457,6.285335535867329,1417.4931745000886,1.4782917170154436e-12,3.6567889253586903e-10
10510,PPP1R12B,4.322296041464477,6.560778991527482,1394.002348659449,1.6130556724534854e-12,3.8951453881007736e-10
9744,PBXIP1,2.7391815924937655,7.901680371573312,1371.383991926939,1.7568527562124979e-12,4.143721082210966e-10
6810,ITGAV,2.646312677912269,8.24944268721156,1345.5681977171262,1.9400530435167673e-12,4.471822265306149e-10
10104,PIK3CB,1.422107142213935,6.294277912279888,1300.95099263916,2.3133282512361576e-12,5.21372780534158e-10
14115,TMEM119,10.942581424601011,4.417286748827899,1289.427328580458,2.423252780608195e-12,5.342745587158329e-10
6659,INF2,2.2444418740135994,6.978570818539335,1263.3982402591928,2.695284290565786e-12,5.816079420195362e-10
6820,ITGB5,3.3071106116353843,10.394234408433254,1249.482425031762,2.8555941911680564e-12,6.006977073827917e-10
274,ABCB1B,-1.2319117727465463,6.333456056576138,1245.6099052890015,2.9022074208003145e-12,6.006977073827917e-10
1353,ATP6V0A1,-1.8459951113743858,8.276815639839283,1225.4002358520938,3.160691192219794e-12,6.41114601429863e-10
3300,CXCL14,7.973371996360525,6.737978312570916,1209.070527866237,3.389749034703176e-12,6.740947982345022e-10
3227,CTNNB1,1.554633443332847,9.412033834525328,1195.0992960000085,3.6015499080477194e-12,7.024407532196149e-10
3835,DMXL2,3.8567228614550686,7.077980185253398,1165.6180842133545,4.102499570166713e-12,7.850481252949208e-10
461,ADAM10,1.5918705852796204,8.790831517635091,1127.5757496219796,4.877148537152547e-12,9.160007493296505e-10
12233,SERPINE1,6.327701127628888,4.293017387607956,1105.3803886810933,5.4095598411308274e-12,9.975228347045247e-10
13840,TECPR1,-2.328684378551905,8.529075682161826,1100.074338142999,5.5469129922346485e-12,1.0045855637007823e-9
2020,CBR2,-7.335223142974519,5.401435437029182,1094.2394444634122,5.702776837214904e-12,1.0146940821584835e-9
13558,SYT11,2.7279334664579706,6.025269975226853,1090.325139857262,5.810261877738813e-12,1.01599441317288e-9
1121,ARHGEF40,3.801004086696894,4.673981903339151,1060.2185475893627,6.722796423539135e-12,1.155637310636168e-9
16063,ZFP608,2.850191409312587,4.8037381601781055,1047.8748468890772,7.14565600688333e-12,1.2078540536968455e-9
4944,FMN1,1.283352653564507,6.5476085282909215,1041.414968884647,7.379549777139114e-12,1.2269408826187687e-9
6817,ITGB3,-5.617934568510379,4.1283894318507555,1036.6242457947899,7.55890677063251e-12,1.2364908462541116e-9
8213,MGAT4A,2.2302099379213,6.428967570460687,1014.1942233193247,8.47094264013668e-12,1.3608633922162814e-09
6395,HTR2B,3.9874221520924227,5.444165616789063,1011.5340529137275,8.587582045143168e-12,1.3608633922162814e-09
8197,MFSD11,-1.0752595826611606,7.318672001432503,1004.6860779936682,8.896748472701697e-12,1.3881665078483173e-9
5220,GAS6,-4.160153924433577,10.084850210521218,998.1462972114376,9.204443608130075e-12,1.4062940511099537e-9
11879,RUNX3,6.76288189261305,4.63476664701242,996.3688857705154,9.290248612144242e-12,1.4062940511099537e-9
8983,NF1,1.308868507850828,6.110959345827827,987.8643235345675,9.714225265442195e-12,1.4488481270899227e-9
6845,ITSN1,-3.5901126609819047,7.802627702864282,977.8460841081035,1.024357562667497e-11,1.5056571595034428e-9
7099,KIF3A,-1.839241013310159,7.166763264411295,962.0711570563944,1.1148446944987339e-11,1.5953211008924379e-9
8877,NDRG1,-2.96165384677821,6.58866784774105,961.7441047864754,1.1168191497077805e-11,1.5953211008924379e-9
7782,LUZP1,2.609771956352307,7.548939871630597,952.6254972389657,1.1735830569208287e-11,1.653122133790423e-9
1083,ARHGAP27,2.6445176950189717,6.842855930142531,949.4210957631526,1.1943416706872568e-11,1.6593168800150902e-9
6561,IL10,-5.12395224304838,1.341788219518624,940.9571287182497,1.2513098804959564e-11,1.6851205645141538e-9
12053,SCPEP1,-1.1638319814278668,9.0170707179802,939.3407672439934,1.262553746505527e-11,1.6851205645141538e-9
14348,TNFRSF21,2.6440958503868672,6.649900589717534,939.3112158758836,1.2627604309118092e-11,1.6851205645141538e-9
12440,SKIL,4.25307350664876,8.250965818148163,930.4429457863706,1.3266470420351895e-11,1.7473836753663498e-9
