symbol,Control,Control,Control,M2b,M2b,M2b
Lypla1,8.719724347422535,8.831859594104056,8.638370703658358,8.905257654266014,8.623590497457743,8.506354086986141
Tcea1,8.177512856368073,8.339239602455761,8.231288590374863,8.931526217122215,8.810943646034952,8.771045247872967
Atp6v1h,7.327796079759385,7.659108363261423,7.491599330397383,7.717552660359909,7.638158991263136,7.544971763
Oprk1,1.5341010615724873,1.676999899514506,1.219904410588473,2.2395552248210313,1.339128330999876,1.6770635860271055
Rb1cc1,7.642713737811833,7.8004796974061765,7.685476062546108,7.541891016629891,7.333816636584035,7.312541613968459
Fam150a,1.4245082433324479,1.6535032576209612,1.712498936659151,1.5689235185174597,1.7955988775828207,1.644808027
St18,6.606287277836959,6.883856078204259,6.825894491668484,6.691226582965888,6.615619326830573,6.651156927311107
Pcmtd1,8.512645338,8.559108724038289,8.558783673914675,8.331897868572138,8.365038159290219,8.274787588082082
Rrs1,6.242759863771943,6.152297772997384,6.462750991218174,6.054428998425242,6.052755712318931,6.0342203262690255
Adhfe1,5.040190957004435,4.8533490631249965,4.812451555309464,5.081210451238654,5.3423087108316105,5.024645618417817
3110035E14Rik,2.2092825640468394,1.8792898444878134,2.0046874239924497,2.046870296640519,1.9336779888551228,2.3118317275380806
1700034P13Rik,1.8157842422761412,1.4131911749653787,1.6730846503992056,1.7985884090268232,1.7810514167931177,1.8566704442674995
Sgk3,9.085393929398952,9.071233707069851,9.030019805584496,9.223993467,9.208804707937635,9.166946301
6030422M02Rik,2.4875794089906536,2.21510155,2.600102067505391,2.2910262055991444,2.3688160614915756,2.391685379614583
Cspp1,6.554312131651306,6.526486153012049,6.62188913,6.356842333907206,6.574125621441226,6.440006260971995
Prex2,1.980913428225358,2.1198004388559126,2.460030861512479,2.3760917264779637,2.139443976093781,2.131171830350833
A830018L16Rik,2.2428650129538825,2.516036177087215,2.5266963036640293,2.6249044577771894,2.5573527018179174,2.2559437836196583
4932411L15,1.720509477426872,2.139821043421932,2.2297315674469838,1.8570883597711954,2.1388262890331804,2.216703034949121
Sulf1,2.7560202718331714,2.7203520728885335,2.4519744929659115,2.6966681383639672,2.7492274700843664,3.017269099345252
Xkr9,1.725680584210844,1.3077426236280392,1.3429224863899907,1.5623999117223655,1.1141446549046927,1.2813837037608191
Msc,4.309215129278157,2.9972633841908927,3.0031640712985865,3.1455807637352895,2.9846118263408914,3.2434005103230668
