symbol,Control,Control,Control,M1,M1,M1,M2a,M2a,M2a
4933401J01Rik,0,0,0,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0
Xkr4,0,0,0,0,0,0,0,0,0
Gm18956,0,0,0,0,0,0,0,0,0
Gm37180,0,0,0,0,0,0,0,0,0
Gm37363,0,0,0,0,0,0,0,0,0
Gm37686,0,0,0,0,0,0,0,0,0
Gm1992,0,0,0,0,0,0,0,0,0
Gm37329,0,1,0,0,0,0,1,0,0
Gm7341,0,0,0,0,0,0,0,0,0
Gm38148,0,0,0,0,0,0,0,0,0
Gm19938,0,0,0,0,0,0,0,0,0
Gm10568,0,0,0,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0,0,1,0
Gm27396,0,0,0,0,0,0,0,0,0
Gm37381,0,0,0,0,0,0,0,0,0
Gm6101,0,0,0,0,0,0,0,0,0
Rp1,0,0,1,0,0,0,0,0,2
Gm37483,0,0,0,0,0,0,0,0,0
Sox17,0,0,0,0,0,0,0,0,1
Gm37587,0,0,0,0,0,0,0,0,0
Gm7357,0,0,1,0,0,0,0,0,0
Gm38076,0,0,0,0,0,0,0,0,0
Gm37323,0,0,0,0,0,0,0,0,0
Gm7369,0,0,0,0,0,0,0,0,0
Gm6085,0,0,0,0,0,0,3,2,2
Gm6119,0,0,0,0,1,0,0,0,0
Gm2053,0,0,0,0,0,0,0,0,0
Gm6123,1,5,2,1,4,1,1,2,3
Mrpl15,192,164,206,145,152,159,305,483,318
Gm37144,1,1,0,0,0,0,1,0,0
Lypla1,190,239,228,243,204,244,309,421,243
Gm37988,0,0,0,0,0,0,0,0,0
Tcea1,316,352,289,466,398,418,433,515,429
Gm6104,8,8,6,0,3,0,9,10,2
Gm37277,0,0,0,0,1,0,0,0,0
Rgs20,0,0,0,1,0,0,1,0,0
Gm17100,0,0,0,0,0,0,0,0,0
Gm37079,0,0,0,0,0,0,0,0,0
Gm16041,0,0,0,0,0,0,0,0,0
Gm17101,0,0,0,0,0,0,0,0,0
Atp6v1h,609,763,754,778,715,657,1153,1473,1018
Gm7182,0,0,0,0,0,0,0,0,0
Gm37567,0,0,0,0,0,0,0,0,0
Gm38264,0,0,0,0,0,0,0,0,0
Oprk1,0,0,0,0,0,0,0,0,0
Gm36965,0,0,0,0,0,0,0,0,0
Gm37429,0,0,0,0,0,0,0,0,0
Npbwr1,1,0,0,0,0,0,0,0,0
Gm19214,0,0,0,0,0,0,1,0,0
Rb1cc1,186,228,214,207,131,196,248,220,154
4732440D04Rik,16,11,13,11,8,10,16,11,11
Alkal1,0,0,0,0,0,0,0,0,0
Gm2147,2,0,0,0,0,0,1,1,0
Gm7417,0,0,0,0,0,0,0,0,1
Gm19026,0,2,0,14,13,26,0,0,2
St18,60,62,70,85,48,82,56,51,44
