Geneid,Control,Control,Control,M1,M1,M1,M2a,M2a,M2a,M2c,M2c,M2c
497097,0,0,0,0,0,0,0,0,0,0,0,0
100503874,0,0,0,0,0,0,0,0,0,0,0,0
100038431,0,0,0,0,0,0,0,0,0,0,0,0
19888,0,0,0,0,0,0,0,0,0,0,0,0
20671,0,0,1,0,0,0,0,0,0,0,0,0
27395,489,679,554,452,430,374,417,594,504,718,549,535
18777,976,1119,1179,851,805,719,785,1006,908,1476,1163,1058
100503730,8,6,6,8,15,16,11,5,3,4,5,10
21399,1282,1485,1464,1371,1441,1178,1295,1512,1474,1900,1461,1440
58175,2,2,0,0,0,1,1,0,0,1,0,2
108664,1493,2037,1759,1418,1341,1275,2113,2734,2401,2868,2296,2042
18387,0,0,0,0,0,0,0,0,0,0,0,0
226304,0,0,0,0,0,0,0,0,0,0,0,0
12421,982,1004,1154,965,878,773,1138,1360,1268,1687,1331,1220
620393,0,0,0,0,0,0,0,0,1,0,0,0
240690,187,167,255,78,68,66,296,342,288,364,290,236
319263,926,885,1074,2198,2176,1837,1350,1609,1463,1671,1310,1184
71096,0,1,0,0,0,0,0,0,0,0,0,0
59014,519,648,624,526,463,406,744,899,888,777,571,555
76187,54,45,87,37,30,28,49,48,44,54,51,40
72481,74,105,138,32,33,28,54,44,42,93,80,46
76982,14,11,14,10,9,7,5,8,3,8,2,6
17864,226,214,287,194,149,139,37,38,35,205,175,171
70675,1648,1547,2159,2737,2571,2257,1409,1620,1470,2674,2140,1958
73331,3,5,4,1,2,1,3,2,0,6,3,4
170755,1819,2159,2198,1989,2064,1747,1192,1536,1330,2490,1849,1813
620986,6,11,4,13,10,8,6,4,1,5,5,9
240697,5,10,9,4,5,4,4,4,10,7,3,4
73824,99,192,132,164,158,140,114,144,148,210,139,111
266793,0,1,0,1,0,1,1,1,1,0,1,3
100038398,5,4,7,2,1,1,9,13,5,4,1,1
100039596,3,2,3,1,1,1,3,2,1,4,1,1
69312,1,3,5,0,0,1,0,0,0,0,2,0
26754,1130,1431,1256,1010,1017,861,852,1063,971,1675,1282,1259
211660,459,480,536,519,519,503,293,340,325,709,527,486
211673,2230,2111,2861,4382,4290,3634,2239,2575,2585,3687,2896,2641
329093,4,0,1,0,0,1,0,0,0,0,2,0
109294,0,0,0,0,0,1,0,0,0,0,0,0
320492,0,0,0,0,0,0,0,0,0,0,0,0
329096,1,0,0,0,0,0,0,0,0,0,0,0
240725,29,30,31,26,19,11,21,15,12,2,1,1
240726,1,1,2,8,2,1,7,5,3,1,2,1
383491,0,0,0,0,0,2,0,0,0,0,0,0
17978,1642,1389,2101,2340,2200,1985,1778,2108,2045,2556,1984,1873
72265,4757,5495,5750,4479,4388,3738,3731,4637,4244,7533,5891,5423
212442,483,486,579,539,516,416,473,592,577,818,606,628
381246,1,1,0,1,1,2,0,0,0,0,0,0
433273,3,8,1,5,7,4,2,1,2,2,4,3
14048,169,198,222,84,80,75,316,334,317,335,248,253
17681,0,0,0,0,0,0,0,0,0,0,0,0
277328,0,0,1,0,0,0,0,0,0,0,0,0
98741,0,0,0,0,0,0,0,0,0,0,0,0
21749,345,370,417,331,309,257,171,217,219,493,369,391
226866,0,4,6,1,6,3,1,2,3,7,7,2
665434,0,0,0,0,0,0,0,0,0,0,0,0
75799,0,0,0,0,0,0,0,0,1,0,0,0
