gene,Control,Control,Control,M2b,M2b,M2b
Xkr4,0,0,0,0,0,0
Rp1,0,0,0,0,0,0
Sox17,0,0,0,0,0,0
Mrpl15,74,290,251,535,240,293
Lypla1,108,780,691,653,519,587
Tcea1,266,1459,1264,1745,1124,1270
Rgs20,0,3,3,0,0,0
Atp6v1h,138,1479,1232,1345,1245,1196
Oprk1,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0
Rb1cc1,222,1106,926,817,571,685
Fam150a,0,0,0,0,0,0
St18,44,240,184,248,217,192
Pcmtd1,128,785,600,614,377,335
Sntg1,0,0,0,0,0,0
Rrs1,81,321,344,887,382,374
Adhfe1,0,1,0,0,7,4
2610203C22Rik,9,46,41,52,29,47
3110035E14Rik,0,0,2,2,0,0
Mybl1,15,67,112,67,46,81
Vcpip1,258,1231,1257,1164,935,983
1700034P13Rik,6,3,5,15,4,1
Sgk3,217,1485,1388,1118,865,923
Mcmdc2,0,1,4,0,3,2
Snhg6,5,57,61,90,35,38
Snord87,90,22,22,101,39,36
Tcf24,0,4,3,1,1,2
Ppp1r42,0,0,0,0,0,0
Cops5,134,723,658,820,536,612
Cspp1,60,257,315,384,192,232
Arfgef1,281,1881,1787,1839,1341,1465
Cpa6,0,0,0,0,0,0
Mir467e,0,0,0,0,0,0
Prex2,0,0,0,0,1,0
A830018L16Rik,0,0,0,0,0,0
Mir6341,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0
Sulf1,0,0,0,0,0,0
Slco5a1,0,0,3,1,2,3
Prdm14,0,0,0,0,0,1
Ncoa2,113,654,626,584,442,440
Tram1,380,2979,3105,2220,2133,2565
Lactb2,88,755,560,643,424,489
Xkr9,0,0,0,1,1,1
Gm5523,1,3,7,2,4,3
Eya1,58,302,230,361,343,285
Msc,0,0,0,0,0,0
Trpa1,0,3,0,0,0,0
Kcnb2,0,0,0,0,0,0
Terf1,32,157,178,215,126,141
Sbspon,0,0,0,0,0,0
4930444P10Rik,0,0,0,0,0,0
Rpl7,808,6246,5874,5587,3922,5502
Rdh10,12,66,70,39,25,37
Stau2,36,191,174,171,142,155
Ube2w,117,409,325,465,326,299
Tceb1,76,295,291,434,214,275
D030040B21Rik,0,0,0,0,0,0
Tmem70,56,394,351,379,228,318
Ly96,38,83,74,156,65,37
Jph1,1,1,1,0,1,1
Gdap1,0,0,2,1,0,0
Pi15,0,0,0,0,1,1
Gm16070,0,0,0,0,0,0
Crispld1,0,0,0,0,0,0
Crisp4,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0
Defb18,0,0,0,0,0,0
Defb41,0,0,0,0,0,0
Gm15386,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0
Tfap2b,0,0,0,0,0,0
Pkhd1,0,0,0,0,0,0
4930486I03Rik,0,0,0,0,0,0
Linc-md1,0,0,0,0,0,0
Mir206,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0
Il17a,0,0,0,0,0,0
Il17f,0,0,0,0,0,0
Mcm3,243,1181,1344,1054,787,1337
6720483E21Rik,0,0,0,0,0,0
Paqr8,5,24,19,9,3,12
Efhc1,0,3,3,1,1,2
Tram2,9,107,103,54,96,80
Tmem14a,0,8,5,1,0,6
