symbol,Control,M1,M2a,M2c,M2c_TGFb,Control,M1,M2a,M2c,M2c_TGFb,Control,M1,M2a,M2c,M2c_TGFb,Control,M1,M2a,M2c,M2c_TGFb,Control,M1,M2a,M2c,M2c_TGFb
Gnai3,7301,4378,11179,6475,4902,6701,5158,10638,6343,4691,5532,5318,11292,5641,5127,5170,4995,9127,6067,4760,4932,4941,9626,6028,5152
Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdc45,452,219,264,657,131,504,300,251,605,140,319,254,189,351,93,203,305,198,544,60,82,272,180,248,85
Scml2,33,13,11,35,5,16,11,6,33,8,17,18,10,11,4,22,16,4,32,7,12,13,9,19,4
Apoh,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
Narf,2461,1414,2401,2111,2367,2645,1677,2136,2476,2191,2215,1855,2323,2725,2314,2292,1551,1871,2280,2441,2194,1742,2052,3174,2451
Cav2,4297,1705,2240,2217,4121,3079,2092,2206,2009,3645,2514,2184,2051,1571,4299,2301,2170,2253,2172,3981,1947,1822,2699,1694,3750
Klf6,16051,18622,15171,13189,9142,14424,22046,16770,12685,8454,11907,22188,13238,11480,9876,12313,20649,17065,12845,8752,10954,20267,17047,12235,9035
Scmh1,952,607,779,760,1037,973,678,704,786,1081,869,696,677,730,1093,971,679,635,742,1049,908,738,792,722,1046
Cox5a,3482,5128,3211,3712,3347,3834,5429,2927,3865,3254,3179,5757,2718,3519,3118,3166,5284,2811,3581,3127,3071,5877,2999,3826,3116
Tbx2,0,3,5,0,5,2,0,8,2,7,2,0,0,2,1,5,1,1,1,6,2,0,4,2,2
Tbx4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngfr,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wnt3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wnt9a,49,2,28,39,16,61,5,40,30,10,21,1,27,28,21,29,0,42,27,19,20,0,28,22,17
Fer,1295,1124,1010,1249,849,1279,1355,853,1309,789,1037,1447,807,1194,973,1123,1359,752,1132,898,1039,1357,861,1158,1074
Xpo6,3511,4449,3374,3882,3598,3505,4849,3287,3750,3274,3324,5405,2785,3782,3728,3600,5036,2995,3657,3429,3052,5127,3340,3794,3729
Tfe3,5565,4708,4200,4491,5980,5602,4915,4117,4470,5406,5667,5472,3526,4730,6132,6038,5099,3807,4507,5813,6199,5221,4337,4813,6370
Axin2,0,4,115,2,0,0,0,111,0,0,0,1,77,0,0,0,1,123,0,1,4,0,75,2,4
Brat1,674,680,672,623,946,658,716,687,650,1051,672,819,567,685,1023,725,742,650,646,1007,710,734,727,630,1015
Gna12,14420,6466,6684,9777,18847,15358,6935,6141,10594,17953,16162,8257,5773,10831,17556,19182,7291,5641,10195,17319,19708,6980,6180,11302,18166
Slc22a18,74,230,62,38,51,76,212,35,40,37,74,169,66,39,34,70,140,41,30,37,78,182,56,51,53
Itgb2l,20,2,0,18,67,19,7,0,5,33,21,4,0,8,55,28,5,0,21,53,36,5,0,18,101
Igsf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pih1d2,14,19,37,17,8,15,12,31,22,11,25,31,33,11,18,22,15,32,13,6,20,19,38,16,11
Dlat,1949,2081,2498,1824,1618,1806,2261,2300,1813,1449,1586,2557,2063,1662,1630,1583,2374,2208,1607,1427,1399,2358,2368,1597,1476
Sdhd,4395,4863,3219,3502,3596,4473,5087,3439,3871,3587,4103,5930,2863,3626,3482,4245,5294,3302,3695,3321,4125,5528,3701,4140,3522
Fgf23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fgf6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Ccnd2,1986,14725,365,2443,81,1992,17336,301,2355,83,1165,14472,301,1138,101,614,14445,491,2190,112,219,13192,356,619,132
Gpr107,5192,5215,5255,4645,4971,5020,5792,5732,4744,4713,5128,6076,4079,4768,4929,5311,5636,5692,4672,4446,5214,5930,6265,4790,4654
Nalcn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Btbd17,5,0,8,6,0,4,1,9,4,1,2,0,4,2,0,2,0,8,2,0,4,0,14,14,0
Slfn4,927,921,25,581,302,532,807,37,394,149,646,1075,24,337,152,939,943,53,878,104,419,1237,64,405,43
Th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ins2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scnn1g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drp2,10,4,0,8,2,8,8,3,11,8,5,6,1,5,0,4,14,0,14,1,4,8,1,8,1
Tspan32,1448,1789,1528,1355,1284,1353,1861,1422,1408,1253,1335,1796,1456,1284,1071,1444,1768,1509,1361,997,1350,1990,1723,1348,971
Lhx2,63,36,502,220,2,31,46,348,198,0,35,49,378,189,4,16,57,293,263,2,8,46,240,170,3
Clec2g,0,0,0,3,0,0,0,0,1,1,0,3,0,0,0,1,1,0,0,1,0,1,1,0,0
Gmpr,488,166,268,399,308,433,162,244,400,302,406,197,212,412,361,388,189,229,411,341,338,217,272,395,371
Glra1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mid2,3,2,42,5,1,2,1,58,8,3,4,2,49,4,3,1,4,43,5,2,0,2,45,5,5
Trim25,20131,12739,15213,13081,13831,18233,13741,14625,12545,13186,19862,15360,13064,15446,15446,23333,14015,13387,13780,14557,22554,15333,15035,15690,14329
Dgke,592,467,652,636,570,510,584,645,598,440,502,668,586,509,661,481,580,647,550,543,405,555,675,488,623
Scpep1,26206,19559,34745,20439,10762,25194,20649,32971,21479,11029,22794,23331,30537,22872,11224,23567,20606,31995,21002,10219,22200,23018,33937,24523,11264
Mnt,4214,1920,5075,3142,2877,4233,1867,5474,3539,2960,4070,2108,4428,3789,3224,4218,1906,4979,3565,3101,4019,2028,5754,4043,3378
Itgb2,20278,23402,45699,21177,23677,21093,25677,39897,22189,24485,18205,26449,38671,20224,24184,18542,23067,33872,21258,23024,16961,25287,36073,22389,24667
Hddc2,182,197,107,196,143,148,196,99,200,139,127,272,95,161,171,129,187,101,185,172,104,251,97,148,137
Tpd52l1,2,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Pemt,42,33,101,48,26,50,34,89,35,34,41,30,68,24,27,29,32,69,31,14,18,23,99,31,25
Cdh1,0,0,1905,8,25,3,4,2440,7,12,0,2,1826,4,17,1,1,2025,9,8,1,3,2069,4,11
Cdh4,1,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Ckmt1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0
Bcl6b,18,1,6,24,3,13,7,3,13,0,5,4,2,4,0,10,1,8,4,0,6,3,10,8,1
Clec10a,2227,2553,8467,1448,40,1826,2397,6210,1567,22,2497,2553,8603,1547,18,3890,2163,4454,1582,24,6471,3135,5025,1999,19
Alox12,0,2,3,1,1,2,2,4,1,1,3,1,0,2,2,1,0,1,2,1,0,0,0,2,2
Comt,4635,4028,2538,3788,3603,4899,4053,2562,4346,3686,4426,4476,2261,4219,3287,4719,3961,2421,4171,3218,4775,4444,2847,4705,3573
Rtca,693,798,721,814,685,815,903,707,805,630,666,1016,653,783,667,706,871,673,751,586,625,933,775,725,593
Dbt,1036,876,1097,779,679,990,964,975,757,571,816,1063,1000,694,596,804,979,1062,735,619,816,938,1178,712,602
Dazap2,20749,13943,16049,16338,17828,19986,15323,15261,17462,18629,18765,16420,14454,17576,18595,19844,14682,14597,17341,18178,20175,15185,16375,19192,20248
Mcts1,1239,1138,1365,1142,952,1107,1247,1271,1127,971,990,1306,1233,1057,1000,1101,1225,1256,977,980,962,1234,1353,1053,991
Rem1,1,0,1,0,0,2,1,9,0,0,0,3,2,0,0,0,0,1,0,0,2,0,2,0,0
Rnf17,41,71,48,47,32,25,63,41,34,28,24,62,48,34,30,37,68,51,31,37,55,82,45,34,49
Trappc10,3441,2561,3812,4054,4482,3310,2839,3760,3892,3969,3116,3110,3115,3643,4459,3184,2972,3455,3501,4105,2791,2889,3866,3352,4413
Ccm2,2373,2408,1410,2102,1407,2434,2624,1285,2124,1407,2431,2898,1094,1966,1327,2601,2557,1144,2023,1246,2579,2712,1394,2034,1337
Wap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tbrg4,1055,1318,2350,1392,1034,1065,1298,2135,1320,968,901,1488,1815,1091,1080,813,1453,1895,1138,1011,677,1429,2032,895,1016
Tmprss2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mx1,3579,11553,92,1710,893,3020,12727,68,1622,1052,2092,11336,63,1346,755,2366,10312,88,1839,753,1489,11357,67,1158,323
Fap,5,4,0,7,14,11,7,0,8,13,7,3,1,7,6,8,2,0,8,10,9,8,0,4,17
Gcg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ndufa9,2460,2426,2352,2380,1746,2539,2586,2188,2450,1768,2257,2708,1971,2144,1844,2046,2468,2028,2297,1734,1796,2665,2211,2223,1916
Egfl6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lck,30,13,35,37,15,20,21,50,40,14,24,17,38,27,12,23,22,47,18,9,6,26,61,18,9
Tssk3,3,1,5,4,0,0,0,5,3,0,1,0,8,2,0,2,2,5,2,0,2,2,5,3,0
Cttnbp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galnt1,3143,2364,3871,3426,5049,3181,2731,3841,3571,5225,2557,2872,3746,3217,5510,2425,2647,3516,3211,5778,2730,2703,3750,3355,6685
Myf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mkrn2,1105,775,660,967,940,1100,812,718,905,958,901,908,628,915,901,962,853,716,884,874,884,854,787,876,887
